GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,2007.7332,4999.9367,7885.8402,0.0,0.0,0.0,-4926.2025,-43450.4904,2209.4645,24408.2142,-5497.0579,193.62589848,-6865.504100000002,-5303.43200152,-12168.936101520001
1,2006.0997,4934.2793,7889.9395,0.0,0.0,0.0,-4937.9791,-43514.4673,2216.1795,24307.9863,-5375.3573,191.4386004,-7097.962099999993,-5183.9186996,-12281.880799599992
2,1932.35,4982.7063,7793.9612,0.0,0.0,0.0,-4913.9183,-43237.5814,2188.4487,24300.3043,-5509.5761,194.50347912,-6953.729199999998,-5315.072620880001,-12268.801820879999
3,2004.9465,4766.1686,7759.9029,0.0,0.0,0.0,-4895.0467,-43470.2487,2222.0815,24412.6781,-5482.636,195.12443016,-7199.5177999999905,-5287.51156984,-12487.029369839991
4,1943.265,4954.1859,7839.0121,0.0,0.0,0.0,-4977.3071,-43397.8704,2245.0362,24342.0051,-5460.3645,188.8548588,-7051.673200000005,-5271.509641199999,-12323.182841200005
5,1956.8559,4912.6322,7806.9242,0.0,0.0,0.0,-4876.2978,-43352.5618,2228.6439,24377.9561,-5494.3082,194.69495376,-6945.847300000001,-5299.61324624,-12245.460546240001
6,1993.2956,4954.5677,7798.5848,0.0,0.0,0.0,-4950.5578,-43398.0606,2198.8224,24303.4629,-5402.042,191.43598248,-7099.884999999998,-5210.60601752,-12310.49101752
7,1946.8888,4885.2926,7789.8966,0.0,0.0,0.0,-5012.0792,-43212.4071,2225.9483,24418.8286,-5604.7392,193.86086183999998,-6957.631399999995,-5410.87833816,-12368.509738159995
8,1980.2558,4869.1276,7866.1168,0.0,0.0,0.0,-4972.6008,-43436.7458,2208.3998,24464.2423,-5560.5759,193.195224,-7021.204299999994,-5367.380676,-12388.584975999995
9,1993.9692,4850.748,7832.3622,0.0,0.0,0.0,-4916.7521,-43346.1293,2181.1056,24262.9248,-5440.968,199.58134392,-7141.771600000004,-5241.38665608,-12383.158256080005
10,2044.2488,4929.7211,7849.6914,0.0,0.0,0.0,-4927.1792,-43500.6061,2180.662,24285.6572,-5354.2259,191.73462192,-7137.804799999994,-5162.4912780800005,-12300.296078079995
11,1967.0758,4903.0982,7715.7234,0.0,0.0,0.0,-4960.4536,-43427.992,2203.2545,24369.4421,-5428.2492,190.11847896,-7229.851599999998,-5238.13072104,-12467.982321039999
12,1992.8362,4896.3571,7801.8734,0.0,0.0,0.0,-4917.1197,-43576.2687,2197.9275,24470.0086,-5462.6349,193.08595248,-7134.385600000001,-5269.54894752,-12403.934547520003
13,1924.0681,4823.6025,7794.2691,0.0,0.0,0.0,-4920.3903,-43451.7795,2236.3526,24504.4436,-5535.7929,195.9622344,-7089.433900000004,-5339.8306656,-12429.264565600004
14,1932.794,4874.9908,7802.4781,0.0,0.0,0.0,-4892.9536,-43450.2181,2225.7002,24452.0469,-5537.5797,197.9103024,-7055.161699999997,-5339.669397600001,-12394.831097599998
15,2002.0781,4875.4242,7800.3187,0.0,0.0,0.0,-4900.2579,-43195.2094,2210.2084,24337.908,-5626.6084,195.18161112,-6869.529900000001,-5431.4267888800005,-12300.956688880002
16,1932.9121,4989.7013,7832.7679,0.0,0.0,0.0,-4920.976,-43428.0775,2222.3435,24432.7202,-5482.4087,196.24414824000002,-6938.608500000002,-5286.16455176,-12224.773051760001
17,1953.0167,4927.3312,7837.2924,0.0,0.0,0.0,-4927.4259,-43481.172,2198.721,24458.3419,-5461.5605,193.85077968000002,-7033.894700000001,-5267.709720319999,-12301.60442032
18,1927.0627,4856.9,7809.8851,0.0,0.0,0.0,-4931.9114,-43340.5783,2212.6867,24448.5865,-5584.136,194.58411048,-7017.368700000003,-5389.55188952,-12406.920589520003
19,1971.3644,4923.8757,7795.6838,0.0,0.0,0.0,-4983.4926,-43377.8815,2223.6931,24329.7853,-5374.8731,189.92185128,-7116.971800000007,-5184.95124872,-12301.923048720008
20,2001.0851,4979.7319,7799.8392,0.0,0.0,0.0,-4926.8006,-43390.539,2197.9756,24471.7125,-5519.5589,195.48444239999998,-6866.995299999991,-5324.0744576,-12191.069757599991
21,2031.931,4906.6595,7827.7689,0.0,0.0,0.0,-4898.2593,-43491.5804,2180.4893,24434.4316,-5441.5741,196.92196199999998,-7008.559399999995,-5244.6521379999995,-12253.211537999994
22,2016.2524,4976.6687,7818.026,0.0,0.0,0.0,-4885.8743,-43630.294,2205.8892,24556.4599,-5424.1099,197.64260928000002,-6942.872099999997,-5226.46729072,-12169.339390719997
23,2015.7383,4908.2688,7806.8983,0.0,0.0,0.0,-4895.4152,-43435.5986,2185.0219,24347.0877,-5477.0873,199.0586808,-7067.998799999998,-5278.0286192,-12346.027419199996
24,1998.0696,4889.1277,7796.0979,0.0,0.0,0.0,-4930.6883,-43203.419,2209.2875,24369.8309,-5572.748,195.7040064,-6871.693700000003,-5377.043993599999,-12248.737693600004
25,1987.8004,4818.6315,7765.556,0.0,0.0,0.0,-4903.1573,-43302.7675,2214.2304,24397.321,-5518.2376,192.90974975999998,-7022.3855,-5325.327850240001,-12347.713350240001
26,1929.1094,4865.7269,7865.9954,0.0,0.0,0.0,-4935.9223,-43548.8797,2223.1951,24423.2834,-5273.7359,191.39525999999998,-7177.4918,-5082.340639999999,-12259.83244
27,1951.8376,4938.4351,7762.9848,0.0,0.0,0.0,-4925.1754,-43366.0747,2201.8797,24512.3594,-5611.869,198.27688536,-6923.753499999995,-5413.59211464,-12337.345614639995
