GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,1962.38,4860.7902,7787.8203,0.0,0.0,0.0,-4988.3401,-43570.0722,2195.1547,24472.7939,-5350.6686,187.13525184,-7279.473200000004,-5163.53334816,-12443.006548160005
1,2022.0838,4767.1537,7812.0696,0.0,0.0,0.0,-4929.9847,-43482.8705,2215.9924,24320.7373,-5351.479,193.60528200000002,-7274.8184,-5157.873718,-12432.692117999999
2,1916.4673,4880.3143,7815.8902,0.0,0.0,0.0,-4843.969,-43590.0009,2236.2031,24374.7694,-5358.2454,201.60104255999997,-7210.3256,-5156.64435744,-12366.96995744
3,1954.7164,4814.7741,7837.3862,0.0,0.0,0.0,-4885.6776,-43367.6295,2212.6239,24345.8246,-5517.6831,201.90435624,-7087.981899999999,-5315.77874376,-12403.760643759999
4,1876.2208,4959.2086,7801.0928,0.0,0.0,0.0,-4915.8457,-43460.5628,2233.0849,24387.7385,-5453.5297,196.73614944,-7119.062899999997,-5256.79355056,-12375.856450559997
5,1965.9193,4949.7503,7778.6496,0.0,0.0,0.0,-4925.5587,-43378.7112,2243.0618,24319.114,-5451.3502,192.52586735999998,-7047.7749,-5258.82433264,-12306.599232640001
6,1983.6215,4880.8375,7841.3219,0.0,0.0,0.0,-4849.1284,-43382.2673,2196.154,24277.2168,-5429.0714,198.82540871999998,-7052.243999999999,-5230.2459912799995,-12282.48999128
7,1995.0412,4956.1531,7852.0919,0.0,0.0,0.0,-4953.4784,-43396.3974,2228.4653,24223.3906,-5340.0514,192.23770968,-7094.733700000001,-5147.81369032,-12242.547390320002
8,1960.6365,4897.3893,7791.8414,0.0,0.0,0.0,-4914.8672,-43463.046,2184.1564,24316.8165,-5386.89,195.92624304,-7227.073100000001,-5190.96375696,-12418.036856960001
9,1981.0367,4979.4412,7782.2411,0.0,0.0,0.0,-4928.5876,-43152.9714,2242.0018,24171.1709,-5515.9139,196.35685272,-6925.667299999997,-5319.557047279999,-12245.224347279996
10,1999.7844,4955.6974,7770.93,0.0,0.0,0.0,-4885.24,-43287.6657,2199.5546,24224.149,-5451.8298,200.58335208,-7022.790300000001,-5251.246447920001,-12274.03674792
11,1945.2806,4962.0123,7834.8453,0.0,0.0,0.0,-4984.9734,-43261.3094,2233.0385,24274.4248,-5473.4199,191.59387848,-6996.6813,-5281.82602152,-12278.507321520001
12,1924.6941,4929.5827,7785.7907,0.0,0.0,0.0,-4864.486,-43445.9107,2224.9406,24323.4682,-5386.1832,198.42227928,-7121.920399999999,-5187.76092072,-12309.68132072
13,1958.6594,5023.8119,7723.3948,0.0,0.0,0.0,-4898.824,-43470.4226,2176.6665,24317.3682,-5367.047,201.08398104,-7169.345799999999,-5165.963018959999,-12335.308818959998
14,2011.703,4874.5524,7866.2056,0.0,0.0,0.0,-4917.908,-43457.4499,2209.1319,24291.5825,-5340.3607,196.24908671999998,-7122.182499999999,-5144.11161328,-12266.29411328
15,1975.1118,4865.8729,7842.8204,0.0,0.0,0.0,-4949.2715,-43492.782,2167.7323,24377.8249,-5400.7069,189.9998784,-7212.6911999999975,-5210.7070216,-12423.398221599999
