#Frame         end-to-end
      0.2000      34.2267
      0.4000      33.3513
      0.6000      33.4592
      0.8000      33.5716
      1.0000      33.1848
      1.2000      32.6595
      1.4000      33.7007
      1.6000      33.1772
      1.8000      33.6534
      2.0000      34.3943
      2.2000      33.6799
      2.4000      32.9124
      2.6000      33.7549
      2.8000      33.9494
      3.0000      34.6940
      3.2000      33.7190
      3.4000      32.7404
      3.6000      33.7324
      3.8000      33.0912
      4.0000      33.3943
      4.2000      33.7427
      4.4000      33.2720
      4.6000      32.8847
      4.8000      32.8437
      5.0000      33.2487
      5.2000      33.1199
      5.4000      33.1342
      5.6000      33.3006
      5.8000      35.1600
      6.0000      33.6296
      6.2000      33.7603
      6.4000      33.9494
      6.6000      34.9739
      6.8000      34.6219
      7.0000      34.9433
      7.2000      33.9139
      7.4000      33.4929
      7.6000      33.5839
      7.8000      34.6248
      8.0000      33.9088
      8.2000      33.1796
      8.4000      34.5905
      8.6000      32.8750
      8.8000      33.1996
      9.0000      34.3466
      9.2000      32.6169
      9.4000      33.3596
      9.6000      34.6053
      9.8000      33.3376
     10.0000      33.7248
     10.2000      34.0092
     10.4000      33.8144
     10.6000      33.4771
     10.8000      32.4038
     11.0000      33.2939
     11.2000      33.9322
     11.4000      33.5709
     11.6000      34.4543
     11.8000      33.9405
     12.0000      33.7552
     12.2000      33.5351
     12.4000      33.8006
     12.6000      33.9216
     12.8000      34.4362
     13.0000      33.9443
     13.2000      33.1932
     13.4000      33.3519
     13.6000      34.5627
     13.8000      33.5951
     14.0000      33.0824
     14.2000      33.8974
     14.4000      33.4809
     14.6000      33.8526
     14.8000      34.7945
     15.0000      33.3410
     15.2000      34.7621
     15.4000      33.8161
     15.6000      34.4721
     15.8000      34.2209
     16.0000      35.5621
     16.2000      34.8550
     16.4000      33.6309
     16.6000      34.3770
     16.8000      34.7975
     17.0000      33.8358
     17.2000      34.3865
     17.4000      36.1121
     17.6000      35.8248
     17.8000      35.5988
     18.0000      34.0000
     18.2000      35.1041
     18.4000      34.7240
     18.6000      34.3370
     18.8000      34.6825
     19.0000      34.5551
     19.2000      33.5804
     19.4000      33.0278
     19.6000      33.6125
     19.8000      34.2399
     20.0000      34.1469
     20.2000      33.8478
     20.4000      33.4088
     20.6000      35.0842
     20.8000      34.5749
     21.0000      34.6062
     21.2000      33.2992
     21.4000      32.8250
     21.6000      33.5452
     21.8000      31.7662
     22.0000      33.1866
     22.2000      36.4552
     22.4000      33.9452
     22.6000      34.6034
     22.8000      32.8197
     23.0000      33.4700
     23.2000      33.9756
     23.4000      34.5565
     23.6000      33.5411
     23.8000      34.3880
     24.0000      34.0242
     24.2000      33.0011
     24.4000      32.7393
     24.6000      33.7923
     24.8000      33.8533
     25.0000      33.1508
     25.2000      33.2609
     25.4000      33.8581
     25.6000      32.1978
     25.8000      33.9989
     26.0000      35.3554
     26.2000      36.1532
     26.4000      35.6642
     26.6000      35.1185
     26.8000      34.8273
     27.0000      34.8440
     27.2000      34.3992
     27.4000      35.5073
     27.6000      34.8023
     27.8000      34.2592
     28.0000      35.6920
     28.2000      34.0259
     28.4000      34.3931
     28.6000      33.8276
     28.8000      33.7856
     29.0000      34.2806
     29.2000      34.7918
     29.4000      36.0892
     29.6000      35.4147
     29.8000      34.4021
     30.0000      34.2016
     30.2000      36.5508
     30.4000      35.1231
     30.6000      34.1785
     30.8000      35.0420
     31.0000      35.1226
     31.2000      33.7428
     31.4000      34.2618
     31.6000      34.4778
     31.8000      34.8024
     32.0000      34.2775
     32.2000      33.7215
     32.4000      33.1182
     32.6000      34.5222
     32.8000      34.5897
     33.0000      34.5874
     33.2000      34.7520
     33.4000      34.0847
     33.6000      34.4628
     33.8000      35.5068
     34.0000      34.5733
     34.2000      35.4351
     34.4000      34.0533
     34.6000      34.0974
     34.8000      32.9161
     35.0000      33.2192
     35.2000      33.9800
     35.4000      33.1579
     35.6000      33.6878
     35.8000      34.1933
     36.0000      34.0267
     36.2000      33.6737
     36.4000      33.1029
     36.6000      33.2894
     36.8000      32.7060
     37.0000      33.8782
     37.2000      33.4660
     37.4000      33.4606
     37.6000      32.8424
     37.8000      33.1983
     38.0000      33.9237
     38.2000      34.3307
     38.4000      33.4420
     38.6000      33.5902
     38.8000      33.5784
     39.0000      33.2560
     39.2000      32.5336
     39.4000      32.2635
     39.6000      30.9423
     39.8000      32.2012
     40.0000      31.7505
     40.2000      32.6880
     40.4000      34.2002
     40.6000      34.6047
     40.8000      34.5173
     41.0000      35.4650
     41.2000      35.5274
     41.4000      35.2226
     41.6000      33.0163
     41.8000      34.4925
     42.0000      34.5241
     42.2000      34.1842
     42.4000      34.1040
     42.6000      33.0471
