#Frame               rms1
      0.2000       0.0000
      0.4000       1.0246
      0.6000       1.5463
      0.8000       2.0823
      1.0000       3.3043
      1.2000       3.3552
      1.4000       3.7658
      1.6000       3.6852
      1.8000       4.0670
      2.0000       4.2528
      2.2000       4.9822
      2.4000       4.5678
      2.6000       2.7686
      2.8000       4.5930
      3.0000       4.0489
      3.2000       4.0086
      3.4000       6.5786
      3.6000       5.3510
      3.8000       4.0679
      4.0000       4.6295
      4.2000       3.0438
      4.4000       3.1479
      4.6000       4.0567
      4.8000       3.8096
      5.0000       5.0266
      5.2000       4.1617
      5.4000       4.8429
      5.6000       4.1193
      5.8000       5.5547
      6.0000       4.5269
      6.2000       3.6959
      6.4000       4.0121
      6.6000       4.8887
      6.8000       3.6989
      7.0000       4.1677
      7.2000       4.2194
      7.4000       4.1986
      7.6000       5.0145
      7.8000       5.2490
      8.0000       3.3001
      8.2000       3.8895
      8.4000       4.0612
      8.6000       2.7180
      8.8000       2.4299
      9.0000       4.2912
      9.2000       3.8590
      9.4000       3.0386
      9.6000       3.8921
      9.8000       4.6016
     10.0000       5.2416
     10.2000       4.6275
     10.4000       5.7640
     10.6000       4.7133
     10.8000       4.7065
     11.0000       3.8124
     11.2000       4.1431
     11.4000       4.0233
     11.6000       4.1952
     11.8000       3.6929
     12.0000       4.5147
     12.2000       3.4547
     12.4000       4.3293
     12.6000       4.7370
     12.8000       3.3482
     13.0000       4.8697
     13.2000       5.0409
     13.4000       3.1540
     13.6000       4.2764
     13.8000       3.4869
     14.0000       3.8915
     14.2000       4.6369
     14.4000       5.0767
     14.6000       5.2308
     14.8000       4.5430
     15.0000       4.6739
     15.2000       4.3721
     15.4000       4.3010
     15.6000       4.1423
     15.8000       3.8825
     16.0000       5.4065
     16.2000       5.4891
     16.4000       6.4432
     16.6000       5.9345
     16.8000       6.0531
     17.0000       6.8393
     17.2000       8.5395
     17.4000       6.7162
     17.6000       6.8601
     17.8000       7.7376
     18.0000       7.8701
     18.2000       7.0679
     18.4000       6.1272
     18.6000       4.4283
     18.8000       5.6970
     19.0000       6.3492
     19.2000       7.1125
     19.4000       6.9256
     19.6000       7.0041
     19.8000       7.3904
     20.0000       7.1351
     20.2000       6.6333
     20.4000       7.1418
     20.6000       6.5152
     20.8000       7.2357
     21.0000       7.4919
     21.2000       8.1712
     21.4000       7.6558
     21.6000       7.5906
