#Frame               rms1
      0.2000       0.0000
      0.4000       1.1541
      0.6000       1.1431
      0.8000       1.2313
      1.0000       1.1534
      1.2000       1.1505
      1.4000       1.3437
      1.6000       1.3928
      1.8000       1.1348
      2.0000       1.1857
      2.2000       1.2287
      2.4000       1.2406
      2.6000       1.3630
      2.8000       1.3287
      3.0000       1.4893
      3.2000       1.5237
      3.4000       1.3529
      3.6000       1.5132
      3.8000       1.4922
      4.0000       1.5264
      4.2000       1.4937
      4.4000       1.3254
      4.6000       1.2894
      4.8000       1.3317
      5.0000       1.3542
      5.2000       1.3729
      5.4000       1.3170
      5.6000       1.2952
      5.8000       1.4829
      6.0000       1.4747
      6.2000       1.2728
      6.4000       1.3389
      6.6000       1.3639
      6.8000       1.6646
      7.0000       1.6945
      7.2000       1.5813
      7.4000       1.4482
      7.6000       1.5613
      7.8000       1.5925
      8.0000       1.5989
      8.2000       1.5611
      8.4000       1.3640
      8.6000       1.5004
      8.8000       1.5089
      9.0000       1.6935
      9.2000       1.6324
      9.4000       1.6436
      9.6000       1.3932
      9.8000       1.4456
     10.0000       1.5921
     10.2000       1.5199
     10.4000       1.4771
     10.6000       1.6749
     10.8000       1.6488
     11.0000       1.5571
     11.2000       1.6429
     11.4000       1.6319
     11.6000       1.7123
     11.8000       1.5034
     12.0000       1.5610
     12.2000       1.7429
     12.4000       1.7278
     12.6000       1.6636
     12.8000       1.7263
     13.0000       1.8651
     13.2000       1.7892
     13.4000       2.0007
     13.6000       1.9592
     13.8000       2.2430
     14.0000       2.3608
     14.2000       2.0994
     14.4000       1.9053
     14.6000       1.6972
     14.8000       1.5873
     15.0000       1.6179
     15.2000       1.6343
     15.4000       1.6676
     15.6000       1.6513
     15.8000       1.5418
     16.0000       1.6908
     16.2000       1.5094
     16.4000       1.5988
     16.6000       1.4284
     16.8000       1.5124
     17.0000       1.5807
     17.2000       1.6105
     17.4000       1.7791
     17.6000       1.6069
     17.8000       1.6043
     18.0000       1.8012
     18.2000       1.9373
     18.4000       1.6394
     18.6000       1.8095
     18.8000       1.5765
     19.0000       1.7765
     19.2000       1.6123
     19.4000       1.7927
     19.6000       1.6012
     19.8000       1.6980
     20.0000       1.5585
     20.2000       1.5739
     20.4000       1.5123
     20.6000       1.6516
     20.8000       1.7303
     21.0000       1.7357
     21.2000       1.8063
     21.4000       1.6821
     21.6000       1.6359
     21.8000       1.6885
     22.0000       1.7885
     22.2000       1.6669
     22.4000       1.8502
     22.6000       1.7434
     22.8000       1.6762
     23.0000       1.7906
     23.2000       1.7061
     23.4000       1.8191
     23.6000       1.7660
     23.8000       1.8103
     24.0000       1.8706
     24.2000       1.8977
     24.4000       1.7410
     24.6000       2.1968
     24.8000       2.2468
     25.0000       2.1187
     25.2000       1.9901
     25.4000       2.1244
     25.6000       2.3220
     25.8000       2.3237
     26.0000       2.0094
     26.2000       2.1196
     26.4000       1.9982
     26.6000       2.0271
     26.8000       2.1428
     27.0000       2.2874
     27.2000       2.3134
     27.4000       2.2908
     27.6000       2.1510
     27.8000       2.1452
     28.0000       2.1908
     28.2000       2.2220
     28.4000       2.1068
     28.6000       2.2674
     28.8000       2.2310
     29.0000       2.2418
     29.2000       2.2504
     29.4000       2.1682
     29.6000       2.2901
     29.8000       2.0812
     30.0000       2.1933
     30.2000       2.1170
     30.4000       2.1859
     30.6000       2.2895
     30.8000       2.2368
     31.0000       2.3311
     31.2000       2.1288
     31.4000       2.0662
     31.6000       1.9583
     31.8000       2.0783
     32.0000       1.9634
     32.2000       2.0350
     32.4000       1.9021
     32.6000       2.0448
     32.8000       1.8789
     33.0000       2.0045
     33.2000       2.0653
     33.4000       2.0261
     33.6000       2.1660
     33.8000       2.1249
     34.0000       2.0736
     34.2000       1.9535
     34.4000       1.9104
     34.6000       1.9255
     34.8000       1.7603
     35.0000       1.6469
     35.2000       1.7065
     35.4000       1.6373
     35.6000       1.7275
     35.8000       1.6838
     36.0000       1.8143
     36.2000       1.8058
     36.4000       1.8288
     36.6000       1.7675
     36.8000       1.9413
     37.0000       2.1097
     37.2000       1.8814
     37.4000       1.8821
     37.6000       1.7689
     37.8000       2.1592
     38.0000       1.8766
     38.2000       1.8697
     38.4000       1.9599
     38.6000       2.0766
     38.8000       1.9674
     39.0000       2.2717
     39.2000       2.0140
     39.4000       2.0135
     39.6000       2.0085
     39.8000       2.2333
     40.0000       2.1358
     40.2000       1.9256
     40.4000       2.4679
     40.6000       2.0692
     40.8000       2.1955
     41.0000       2.1999
     41.2000       2.2902
     41.4000       2.0446
     41.6000       2.0777
     41.8000       2.2408
     42.0000       1.9773
     42.2000       2.3635
     42.4000       1.9235
     42.6000       2.1455
     42.8000       2.0900
     43.0000       1.9976
     43.2000       1.9639
     43.4000       1.8702
     43.6000       1.8992
     43.8000       2.0920
     44.0000       1.8815
     44.2000       1.9500
     44.4000       1.7745
     44.6000       1.8329
     44.8000       2.1523
     45.0000       1.6697
     45.2000       1.9722
     45.4000       1.6657
     45.6000       1.8231
     45.8000       1.8793
     46.0000       1.8158
     46.2000       1.7232
     46.4000       1.8689
     46.6000       1.8139
     46.8000       1.9649
     47.0000       1.7607
     47.2000       1.9104
     47.4000       1.8890
     47.6000       1.9461
     47.8000       1.9799
     48.0000       1.8496
     48.2000       1.7346
     48.4000       1.8651
     48.6000       1.9032
     48.8000       2.1136
     49.0000       2.0833
     49.2000       1.9664
     49.4000       1.8083
     49.6000       1.8745
     49.8000       1.6941
     50.0000       1.8635
     50.2000       1.8133
     50.4000       1.7267
     50.6000       1.7450
     50.8000       1.7167
     51.0000       1.8797
     51.2000       1.8579
     51.4000       1.9368
     51.6000       1.9382
     51.8000       1.9242
     52.0000       1.8289
     52.2000       1.9849
     52.4000       1.9258
     52.6000       1.7929
     52.8000       1.8805
     53.0000       1.9810
     53.2000       1.7968
     53.4000       2.1629
     53.6000       2.0118
     53.8000       1.9550
     54.0000       1.8462
     54.2000       1.9884
     54.4000       1.9651
     54.6000       1.9075
     54.8000       1.8571
     55.0000       2.0087
     55.2000       1.7681
     55.4000       2.0188
     55.6000       1.9577
     55.8000       1.9833
     56.0000       2.1452
     56.2000       2.0968
     56.4000       2.1320
     56.6000       2.2398
     56.8000       2.2229
     57.0000       2.3319
     57.2000       2.2042
     57.4000       2.2480
     57.6000       2.2853
     57.8000       2.2889
     58.0000       2.2270
     58.2000       2.1250
     58.4000       2.2929
     58.6000       1.9700
     58.8000       1.9567
