#Frame            ToFirst
      0.2000      25.5066
      0.4000      25.5896
      0.6000      25.4289
      0.8000      25.5132
      1.0000      25.6719
      1.2000      25.5337
      1.4000      25.5826
      1.6000      25.6335
      1.8000      25.5108
      2.0000      25.5123
      2.2000      25.5505
      2.4000      25.5503
      2.6000      25.5465
      2.8000      25.4584
      3.0000      25.4770
      3.2000      25.4943
      3.4000      25.5644
      3.6000      25.4605
      3.8000      25.5192
      4.0000      25.4340
      4.2000      25.5999
      4.4000      25.4986
      4.6000      25.5487
      4.8000      25.5308
      5.0000      25.5086
      5.2000      25.6010
      5.4000      25.5537
      5.6000      25.5755
      5.8000      25.6437
      6.0000      25.5800
      6.2000      25.5589
      6.4000      25.5027
      6.6000      25.5312
      6.8000      25.6594
      7.0000      25.6449
      7.2000      25.5877
      7.4000      25.5590
      7.6000      25.5067
      7.8000      25.5235
      8.0000      25.5491
      8.2000      25.5455
      8.4000      25.5386
      8.6000      25.5619
      8.8000      25.4836
      9.0000      25.4714
      9.2000      25.5361
      9.4000      25.6010
      9.6000      25.5594
      9.8000      25.4358
     10.0000      25.5404
     10.2000      25.5054
     10.4000      25.5962
     10.6000      25.5465
     10.8000      25.5140
     11.0000      25.4232
     11.2000      25.4875
     11.4000      25.5468
     11.6000      25.5535
     11.8000      25.5164
     12.0000      25.5622
     12.2000      25.5311
     12.4000      25.3714
     12.6000      25.3427
     12.8000      25.6246
     13.0000      25.4539
     13.2000      25.5103
     13.4000      25.5247
     13.6000      25.4394
     13.8000      25.5567
     14.0000      25.5643
     14.2000      25.5193
     14.4000      25.5827
     14.6000      25.5334
     14.8000      25.5752
     15.0000      25.4827
     15.2000      25.4876
     15.4000      25.5380
     15.6000      25.6285
     15.8000      25.4325
     16.0000      25.4097
     16.2000      25.5062
     16.4000      25.4379
     16.6000      25.5651
     16.8000      25.4521
     17.0000      25.5288
     17.2000      25.4278
     17.4000      25.3734
     17.6000      25.4100
     17.8000      25.3226
     18.0000      25.2845
     18.2000      25.4104
     18.4000      25.4556
     18.6000      25.4205
     18.8000      25.3832
     19.0000      25.3540
     19.2000      25.4017
     19.4000      25.3764
     19.6000      25.4989
     19.8000      25.3712
     20.0000      25.5561
     20.2000      25.4588
     20.4000      25.3638
     20.6000      25.3904
     20.8000      25.5198
     21.0000      25.5185
     21.2000      25.4552
     21.4000      25.5001
     21.6000      25.3704
     21.8000      25.3515
     22.0000      25.4855
     22.2000      25.3956
     22.4000      25.4122
     22.6000      25.4890
     22.8000      25.3944
     23.0000      25.3211
     23.2000      25.4578
     23.4000      25.4123
     23.6000      25.3970
     23.8000      25.5777
     24.0000      25.5726
     24.2000      25.5080
     24.4000      25.5849
     24.6000      25.4078
     24.8000      25.4630
     25.0000      25.5514
     25.2000      25.5489
     25.4000      25.5076
     25.6000      25.4928
     25.8000      25.5674
     26.0000      25.5718
     26.2000      25.5755
     26.4000      25.5760
     26.6000      25.5541
     26.8000      25.5896
     27.0000      25.7092
     27.2000      25.4957
     27.4000      25.6203
     27.6000      25.5350
     27.8000      25.5494
     28.0000      25.5668
     28.2000      25.4797
     28.4000      25.5907
     28.6000      25.5584
     28.8000      25.5542
     29.0000      25.5169
     29.2000      25.5016
     29.4000      25.5473
     29.6000      25.5970
     29.8000      25.5957
     30.0000      25.5883
     30.2000      25.5823
     30.4000      25.5827
     30.6000      25.4840
     30.8000      25.4933
     31.0000      25.4493
     31.2000      25.4569
     31.4000      25.5482
     31.6000      25.5354
     31.8000      25.5523
     32.0000      25.3923
     32.2000      25.4944
     32.4000      25.5443
     32.6000      25.4166
     32.8000      25.6023
     33.0000      25.5513
     33.2000      25.4602
     33.4000      25.4158
     33.6000      25.5305
     33.8000      25.4869
     34.0000      25.4623
     34.2000      25.6213
     34.4000      25.5142
     34.6000      25.3625
     34.8000      25.5070
     35.0000      25.5258
     35.2000      25.4837
     35.4000      25.4784
     35.6000      25.5862
     35.8000      25.6315
     36.0000      25.6308
     36.2000      25.6488
     36.4000      25.4915
     36.6000      25.5590
     36.8000      25.4673
     37.0000      25.5772
     37.2000      25.4813
     37.4000      25.5039
     37.6000      25.6370
     37.8000      25.5806
     38.0000      25.4239
     38.2000      25.4602
     38.4000      25.4666
     38.6000      25.5169
     38.8000      25.5158
     39.0000      25.5001
     39.2000      25.5180
     39.4000      25.5133
     39.6000      25.5205
     39.8000      25.5429
     40.0000      25.6095
     40.2000      25.6617
     40.4000      25.6616
     40.6000      25.6001
     40.8000      25.5178
     41.0000      25.8043
     41.2000      25.6369
     41.4000      25.6173
     41.6000      25.6094
     41.8000      25.6203
     42.0000      25.6287
     42.2000      25.6699
     42.4000      25.6088
     42.6000      25.6052
     42.8000      25.5376
     43.0000      25.6562
     43.2000      25.6145
     43.4000      25.4241
     43.6000      25.4986
     43.8000      25.5092
     44.0000      25.5449
     44.2000      25.5367
     44.4000      25.5764
     44.6000      25.5184
     44.8000      25.5172
     45.0000      25.5629
     45.2000      25.5845
     45.4000      25.5945
     45.6000      25.5553
     45.8000      25.6697
     46.0000      25.4924
     46.2000      25.5335
     46.4000      25.4944
     46.6000      25.5061
     46.8000      25.7453
     47.0000      25.5504
     47.2000      25.7021
     47.4000      25.7041
     47.6000      25.5479
     47.8000      25.6142
     48.0000      25.6028
     48.2000      25.5266
     48.4000      25.6541
     48.6000      25.7689
     48.8000      25.7364
     49.0000      25.6209
     49.2000      25.5858
     49.4000      25.5373
     49.6000      25.5592
     49.8000      25.5549
     50.0000      25.4936
     50.2000      25.6263
     50.4000      25.5742
     50.6000      25.6338
     50.8000      25.5325
     51.0000      25.6058
     51.2000      25.5824
     51.4000      25.5262
     51.6000      25.5198
     51.8000      25.6394
     52.0000      25.5901
     52.2000      25.5856
     52.4000      25.6975
     52.6000      25.4613
     52.8000      25.5731
     53.0000      25.5472
     53.2000      25.5579
